,Year,Month,Day,GHI,Energy,conversion_efficiency
7199,2019,3,2,153,0.175166681,0.04305371217555111
4254,2013,3,2,129,0.0,0.04379674236818537
7887,2016,1,2,197,0.056166671,0.05077127977322454
8034,2018,3,2,218,0.428333342,0.05077127977322454
2817,2018,7,2,183,0.278223813,0.045469535046767755
1457,2011,8,2,73,0.0,0.045469535046767755
8053,2018,9,2,462,0.268277794,0.05077127977322454
8054,2018,9,2,517,0.802875042,0.05077127977322454
4427,2013,11,2,34,0.0,0.04379674236818537
4428,2013,11,2,37,0.0,0.04379674236818537
6943,2018,1,2,124,0.187749773,0.04305371217555111
3909,2011,11,2,17,0.0,0.04379674236818537
3908,2011,11,2,8,0.0,0.04379674236818537
6900,2017,12,2,85,0.0,0.04305371217555111
878,2019,5,2,13,0.0,0.009502088949502536
877,2019,5,2,1,0.0,0.009502088949502536
6845,2017,5,2,617,1.464611173,0.04305371217555111
6844,2017,5,2,414,1.02294445,0.04305371217555111
1511,2011,9,2,26,0.0,0.045469535046767755
1512,2011,9,2,28,0.0,0.045469535046767755
8126,2019,5,2,361,0.439111143,0.05077127977322454
174,2011,8,2,26,0.0,0.009502088949502536
4467,2013,12,2,6,0.0,0.04379674236818537
8155,2019,12,2,163,0.0,0.05077127977322454
8156,2019,12,2,147,0.171333343,0.05077127977322454
6810,2017,3,2,127,0.0,0.04305371217555111
852,2018,8,2,42,0.0,0.009502088949502536
851,2018,8,2,2,0.0,0.009502088949502536
6781,2016,11,2,74,0.05005556,0.04305371217555111
6758,2016,7,2,224,0.0085,0.04305371217555111
6093,2012,2,2,85,0.187403932,0.04305371217555111
3849,2011,10,2,140,0.0,0.04379674236818537
3093,2019,7,2,168,0.23300001,0.045469535046767755
1560,2011,10,2,52,0.0,0.045469535046767755
6982,2018,2,2,97,0.0,0.04305371217555111
926,2019,6,2,100,0.188330933,0.009502088949502536
7888,2016,1,2,269,0.63500005,0.05077127977322454
7156,2019,2,2,48,0.0,0.04305371217555111
7906,2016,4,2,603,1.351888895,0.05077127977322454
7907,2016,4,2,687,1.217000008,0.05077127977322454
7908,2016,5,2,337,0.182388887,0.05077127977322454
7909,2016,5,2,511,0.626833379,0.05077127977322454
7911,2016,7,2,213,0.31400001,0.05077127977322454
